Variable,Coeficiente_PLS,Abs_Coeficiente_PLS
8383,0.0019110527760315,0.0019110527760315
8384,0.00191064907248056,0.00191064907248056
8001,-0.00189571418535916,0.00189571418535916
7809,-0.00188068390987771,0.00188068390987771
8433,-0.00187644462643578,0.00187644462643578
8705,0.00185990314675149,0.00185990314675149
8193,-0.00184532810089535,0.00184532810089535
8881,0.00183093203239533,0.00183093203239533
8665,-0.00182265855249578,0.00182265855249578
8889,0.00181749567582925,0.00181749567582925
8441,-0.00178577393381221,0.00178577393381221
7817,-0.0017826980401661,0.0017826980401661
8513,0.0017816542362399,0.0017816542362399
8007,0.00177885634123832,0.00177885634123832
9156,-0.00177468211336264,0.00177468211336264
9025,-0.00177386818794879,0.00177386818794879
8524,0.00176969571346872,0.00176969571346872
9040,-0.00176922970801665,0.00176922970801665
7815,0.00175902052514435,0.00175902052514435
9039,-0.00175261369224264,0.00175261369224264
9160,0.00175021300087937,0.00175021300087937
8519,-0.00174794006092613,0.00174794006092613
8263,0.00174571900893456,0.00174571900893456
8520,-0.00173970853995784,0.00173970853995784
9159,0.00172786807669507,0.00172786807669507
8376,0.00171630935927042,0.00171630935927042
8200,0.00171215871387176,0.00171215871387176
8375,0.0017089832019829,0.0017089832019829
7929,0.00170795054139544,0.00170795054139544
9048,-0.00170584637676189,0.00170584637676189
8692,-0.00170344334394802,0.00170344334394802
7752,0.00170297140257739,0.00170297140257739
8700,-0.00169882304605233,0.00169882304605233
8530,0.00169338520652824,0.00169338520652824
8369,-0.00168547387599055,0.00168547387599055
7879,-0.00168229104478329,0.00168229104478329
8199,0.00167759780079584,0.00167759780079584
8442,-0.0016714228977861,0.0016714228977861
7751,0.00166992411021642,0.00166992411021642
8521,0.0016692648889753,0.0016692648889753
8769,0.00166719083366425,0.00166719083366425
8447,0.00166303638872643,0.00166303638872643
7873,0.00165903722304227,0.00165903722304227
9047,-0.00165283173350904,0.00165283173350904
8649,-0.00164857051616949,0.00164857051616949
9056,-0.00163698717411711,0.00163698717411711
8516,0.00163469232936054,0.00163469232936054
7816,0.00163150866961369,0.00163150866961369
8625,0.00162696602947392,0.00162696602947392
9064,-0.00162682498614893,0.00162682498614893
